PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,TAX_TYPE,ACCOUNTING_DATE,NORAD_FLAG,DRIVERID,invoice_month,invoice_year
null,349466990,ERP0000079893971,71ERPAP,1,4130.55,SS00,,2023-01-16,1.2000000000,1,CYD,GA,FOR CUSTOMER,3494669901,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349467038,ERP0000079896929,71ERPAP,1,4130.55,SS00,,2023-01-16,229.2200000000,229,CYD,GA,FOR CUSTOMER,3494670381,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349467209,ERP0000079890987,71ERPAP,1,4130.55,SS00,,2023-01-15,48.2600000000,48,CYD,GA,FOR CUSTOMER,3494672091,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349467267,ERP0000079896957,71ERPAP,1,4130.55,SS00,,2023-01-16,134.6000000000,135,CYD,GA,FOR CUSTOMER,3494672671,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349467422,ERP0000079893611,71ERPAP,1,4130.55,SS00,,2023-01-16,127.9200000000,128,CYD,GA,FOR CUSTOMER,3494674221,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349467744,ERP0000079891993,71ERPAP,1,4130.55,SS00,,2023-01-16,107.7900000000,108,CYD,GA,FOR CUSTOMER,3494677441,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349467755,ERP0000079892084,71ERPAP,1,4130.55,SS00,,2023-01-16,32.2300000000,32,CYD,GA,FOR CUSTOMER,3494677551,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349467953,310809080        03080008372,ENGIEW,2,6531.60M,5K00,,2023-01-07,10.1900000000,2,5B1,KY,ENGIE INSIGHT SERVICES INC>,3494679532,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349468024,ERP0000079892049,71ERPAP,1,4130.55,SS00,,2023-01-16,22.9100000000,23,CYD,GA,FOR CUSTOMER,3494680241,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349468109,ERP0000079892030,71ERPAP,1,4130.55,SS00,,2023-01-16,19.5300000000,20,CYD,GA,FOR CUSTOMER,3494681091,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
